
========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 07:58:38 2026
========================================
Time: 42.1244 | Cost: 797893523
Time: 49.1451 | Cost: 797493009
Time: 56.1658 | Cost: 797076213
Time: 63.1865 | Cost: 796680969
Time: 70.2073 | Cost: 796302255
Time: 77.2279 | Cost: 795952760
Time: 84.2486 | Cost: 795621540
Time: 91.2693 | Cost: 795334188
Time: 98.2901 | Cost: 794986020
Time: 105.311 | Cost: 794727819
Time: 112.332 | Cost: 794460440
Time: 119.352 | Cost: 794205957
Time: 126.373 | Cost: 793937141
Time: 133.394 | Cost: 793696091
Time: 140.415 | Cost: 793403414
Time: 147.435 | Cost: 793192856
Time: 154.456 | Cost: 792966969
Time: 161.477 | Cost: 792685308
Time: 168.498 | Cost: 792483940
Time: 175.518 | Cost: 792267959
Time: 182.539 | Cost: 792056449
Time: 189.59 | Cost: 791829605
Time: 196.611 | Cost: 791647552
Time: 203.632 | Cost: 791453913
Time: 210.652 | Cost: 791180739
Time: 217.673 | Cost: 790998672
Time: 224.694 | Cost: 790821841
Time: 231.715 | Cost: 790647068
Time: 238.736 | Cost: 790475356
Time: 245.756 | Cost: 790308342
Time: 252.777 | Cost: 790146775
Time: 259.798 | Cost: 789978545
Time: 266.819 | Cost: 789826837
Time: 273.84 | Cost: 789690789
Time: 280.86 | Cost: 789446173

========================================
DATASET: ../TSPLIB/fma21553.tsp
NEW RUN STARTED: Tue Jun 30 08:55:54 2026
========================================
Time: 0.0000 | Cost: 802410166
Time: 7.02078 | Cost: 801068404
Time: 14.0415 | Cost: 800145367
Time: 21.0623 | Cost: 799460174
Time: 28.0831 | Cost: 798892339
Time: 35.1038 | Cost: 798415564
Time: 42.1245 | Cost: 797932583
Time: 49.1453 | Cost: 797493009
Time: 56.166 | Cost: 797110310
Time: 63.1867 | Cost: 796712887
Time: 70.2075 | Cost: 796361803
Time: 77.2282 | Cost: 796010388
Time: 84.2489 | Cost: 795675459
Time: 91.2696 | Cost: 795359924
Time: 98.2905 | Cost: 795058959
Time: 105.311 | Cost: 794773999
Time: 112.332 | Cost: 794503975
Time: 119.353 | Cost: 794268940
Time: 126.373 | Cost: 793998808
Time: 133.394 | Cost: 793755747
Time: 140.415 | Cost: 793519517
Time: 147.436 | Cost: 793249933
Time: 154.457 | Cost: 793022985
Time: 161.477 | Cost: 792818113
Time: 168.498 | Cost: 792556714
Time: 175.519 | Cost: 792339572
Time: 182.54 | Cost: 792126086
Time: 189.56 | Cost: 791923291
Time: 196.581 | Cost: 791696770
Time: 203.602 | Cost: 791501603
Time: 210.623 | Cost: 791258759
Time: 217.643 | Cost: 791058049
Time: 224.664 | Cost: 790895317
Time: 231.685 | Cost: 790719689
Time: 238.706 | Cost: 790546238
Time: 245.727 | Cost: 790391194
Time: 252.747 | Cost: 790226668
Time: 259.768 | Cost: 790068456
Time: 266.789 | Cost: 789915139
Time: 273.809 | Cost: 789764609
Time: 280.83 | Cost: 789617947

========================================
DATASET: ../TSPLIB/fma21553.tsp
NEW RUN STARTED: Tue Jun 30 09:00:52 2026
========================================
Time: 0.0000 | Cost: 802410166
Time: 7.02077 | Cost: 801068404
Time: 14.0415 | Cost: 800145367
Time: 21.0621 | Cost: 799407238
Time: 28.0829 | Cost: 798850463
Time: 35.1037 | Cost: 798333634
Time: 42.1245 | Cost: 797855019
